cluster	id	name
cluster_064	transfac_motifs_motif196_n196,transfac_motifs_motif197_n197,transfac_motifs_motif22_n22,transfac_motifs_motif851_n851,transfac_motifs_motif826_n826,transfac_motifs_motif855_n855	motif196|Ornament:SF1_7mer_logo2,motif197|Ornament:SF1_7mer_logo0,motif22|Ornament:NUPL2_7mer_logo5,motif851|Ornament:KHDRBS3_7mer_logo1,motif826|Attract:ZFP36_128,motif855|Attract:PPIE_20,Attract:PPIE_36
cluster_065	transfac_motifs_motif299_n299,transfac_motifs_motif437_n437,transfac_motifs_motif115_n115,transfac_motifs_motif649_n649,transfac_motifs_motif175_n175,transfac_motifs_motif933_n933,transfac_motifs_motif408_n408,transfac_motifs_motif945_n945	motif299|Ornament:Rbm45_7mer_logoM209,Ray2013:RNCMPT00241_RBM45,CISBP:RBM45_M209_0.6,motif437|Attract:HNRNPLL_1053,motif115|CISBP:SRSF7_M331_0.6,motif649|Attract:SRSF7_M331_0.6,motif175|Ornament:RBM45_7mer_logo5,motif933|Attract:SRSF7_M071_0.6,Ray2013:RNCMPT00073_SRSF7,CISBP:SRSF7_M071_0.6,motif408|Attract:SRSF7_s82,motif945|Attract:SRSF7_583
cluster_066	transfac_motifs_motif586_n586,transfac_motifs_motif827_n827,transfac_motifs_motif203_n203,transfac_motifs_motif286_n286	motif586|Attract:ZFP36_49,motif827|Attract:CELF1_478,motif203|Ornament:SFPQ_7mer_logo1,motif286|Ornament:SFPQ_7mer_logoM168,Attract:SFPQ_M168_0.6,Ray2013:RNCMPT00177_SFPQ,CISBP:SFPQ_PSPC1_M168_0.6
cluster_067	transfac_motifs_motif395_n395,transfac_motifs_motif275_n275,transfac_motifs_motif276_n276,transfac_motifs_motif715_n715,transfac_motifs_motif278_n278,transfac_motifs_motif279_n279,transfac_motifs_motif521_n521,transfac_motifs_motif274_n274,transfac_motifs_motif414_n414,transfac_motifs_motif351_n351,transfac_motifs_motif142_n142,transfac_motifs_motif358_n358,transfac_motifs_motif585_n585,transfac_motifs_motif784_n784,transfac_motifs_motif338_n338,transfac_motifs_motif968_n968	motif395|Ornament:B52_7mer_logoM126,CISBP:SRSF4_SRSF6_M126_0.6,motif275|Ornament:SRSF1_7mer_logoM105,Ray2013:RNCMPT00109_SRSF1,CISBP:SRSF1_M105_0.6,motif276|Ornament:SRSF1_7mer_logoM104,Attract:SRSF1_M104_0.6,Ray2013:RNCMPT00108_SRSF1,CISBP:SRSF1_M104_0.6,motif715|Attract:SRSF2_1182,Attract:SRSF1_1232,motif278|Ornament:SRSF1_7mer_logoM103,Attract:SRSF1_M103_0.6,Ray2013:RNCMPT00107_SRSF1,CISBP:SRSF1_M103_0.6,motif279|Ornament:SRSF1_7mer_logoM102,Attract:SRSF1_M102_0.6,Ray2013:RNCMPT00106_SRSF1,CISBP:SRSF1_M102_0.6,motif521|Attract:SRSF2_1179,Attract:HNRNPA1_663,Attract:HNRNPH2_927,Attract:HNRNPF_816,Attract:HNRNPH3_971,Attract:HNRNPH1_875,motif274|Ornament:SRSF1_7mer_logoM154,Attract:SRSF1_M154_0.6,Ray2013:RNCMPT00163_SRSF1,CISBP:SRSF1_M154_0.6,motif414|Attract:SRSF2_1183,Attract:SRSF1_1233,motif351|Ornament:HNRNPH2_7mer_logoM151,Attract:HNRNPH2_M151_0.6,Ray2013:RNCMPT00160_HNRNPH2,CISBP:HNRNPH2_HNRNPH1_HNRNPF_M151_0.6,motif142|Ornament:PUM1_7mer_logo1,motif358|Ornament:EWSR1_7mer_logo0,motif585|Ornament:HNRNPF_7mer_logo0,motif784|Ornament:ILF2_7mer_logo0,motif338|Ornament:LIN28A_7mer_logoM153,Attract:LIN28A_M153_0.6,Ray2013:RNCMPT00162_LIN28A,CISBP:LIN28A_M153_0.6,motif968|Attract:SFPQ_s69
cluster_068	transfac_motifs_motif23_n23,transfac_motifs_motif385_n385,transfac_motifs_motif920_n920,transfac_motifs_motif940_n940,transfac_motifs_motif246_n246,transfac_motifs_motif407_n407	motif23|Attract:KHSRP_63,motif385|Ornament:DAZAP1_7mer_logoM013,Attract:DAZAP1_M013_0.6,Ray2013:RNCMPT00013_DAZAP1,CISBP:DAZAP1_M013_0.6,motif920|Attract:KHSRP_1120,motif940|Ornament:MSI1_7mer_logo2,motif246|Ornament:UNK_7mer_logo0,motif407|Ornament:HNRNPA0_7mer_logo3
cluster_069	transfac_motifs_motif722_n722,transfac_motifs_motif939_n939,transfac_motifs_motif700_n700,transfac_motifs_motif982_n982,transfac_motifs_motif774_n774,transfac_motifs_motif83_n83,transfac_motifs_motif140_n140,transfac_motifs_motif372_n372,transfac_motifs_motif236_n236,transfac_motifs_motif163_n163,transfac_motifs_motif308_n308,transfac_motifs_motif141_n141,transfac_motifs_motif146_n146,transfac_motifs_motif28_n28,transfac_motifs_motif705_n705	motif722|Attract:RBM4_1147,Attract:PTBP1_1003,motif939|Attract:PTBP1_1000,motif700|Attract:PTBP1_1001,Attract:PTBP1_999,motif982|Attract:PTBP1_59,Attract:PTBP1_1020,motif774|Attract:PTBP1_997,motif83|Attract:PTBP1_1340,motif140|Ornament:PUF60_7mer_logo1,motif372|Ornament:FUBP1_7mer_logo0,motif236|Ornament:TIA1_7mer_logo0,motif163|Ornament:RBM15B_7mer_logo0,motif308|Ornament:ELAVL4_7mer_logo0,motif141|Ornament:PUF60_7mer_logo0,motif146|Ornament:RALYL_7mer_logo0,motif28|Attract:PTBP1_s100,motif705|Attract:PTBP1_991
cluster_070	transfac_motifs_motif399_n399,transfac_motifs_motif400_n400,transfac_motifs_motif529_n529,transfac_motifs_motif252_n252,transfac_motifs_motif240_n240,transfac_motifs_motif316_n316	motif399|Ornament:A1CF_7mer_logoM001,Attract:A1CF_M001_0.6,Ray2013:RNCMPT00001_A1CF,CISBP:A1CF_M001_0.6,motif400|Ornament:A1CF_7mer_logo0,motif529|Ornament:HNRNPD_7mer_logo0,motif252|Ornament:DAZAP1_7mer_logo2,motif240|Ornament:TRNAU1AP_7mer_logo2,motif316|Ornament:ELAVL4_7mer_logo2
cluster_071	transfac_motifs_motif411_n411,transfac_motifs_motif838_n838,transfac_motifs_motif110_n110,transfac_motifs_motif952_n952,transfac_motifs_motif27_n27,transfac_motifs_motif324_n324,transfac_motifs_motif393_n393,transfac_motifs_motif394_n394,transfac_motifs_motif258_n258,transfac_motifs_motif915_n915	motif411|Attract:CELF1_s87,Attract:TARDBP_1281,motif838|Attract:CSTF2_19,motif110|Ornament:CELF1_7mer_logo0,motif952|Attract:CELF1_s86,motif27|Attract:KHSRP_41,motif324|Ornament:papi_7mer_logoM011,motif393|Ornament:BRUNOL5_7mer_logoM157,Attract:CELF5_M157_0.6,Ray2013:RNCMPT00166_BRUNOL5,CISBP:CELF3_BRUNOL5_M157_0.6,motif394|Ornament:BRUNOL4_7mer_logoM004,Attract:CELF4_M004_0.6,Ray2013:RNCMPT00004_BRUNOL4,CISBP:BRUNOL4_M004_0.6,motif258|Ornament:ZNF638_7mer_logoM155,Attract:ZNF638_M155_0.6,Ray2013:RNCMPT00164_ZNF638,CISBP:ZNF638_M155_0.6,motif915|Attract:CELF2_s5
cluster_072	transfac_motifs_motif237_n237,transfac_motifs_motif660_n660	motif237|Ornament:TRA2A_7mer_logo1,motif660|Attract:SF1_1205
cluster_073	transfac_motifs_motif662_n662,transfac_motifs_motif707_n707,transfac_motifs_motif751_n751,transfac_motifs_motif637_n637,transfac_motifs_motif926_n926	motif662|Ornament:HNRNPL_7mer_logo1,motif707|Ornament:IGF2BP1_7mer_logo0,motif751|Ornament:IGF2BP2_7mer_logo0,motif637|Attract:HNRNPL_1052,Attract:HNRNPLL_1054,motif926|Attract:HNRNPLL_169
cluster_074	transfac_motifs_motif488_n488,transfac_motifs_motif688_n688	motif488|Attract:HNRNPH2_938,Attract:HNRNPH3_979,Attract:HNRNPH1_886,motif688|Attract:IFIH1_546
