UNIQUE ID,REFERENCE NAME,HGNC ID,EntrezGene official name (Human),EntrezGeneID (Human),EntrezGene Symbol (Human),EntrezGene Aliases (Human),EntrezGene Additional Names (Human),MGI ID,EntrezGeneofficial name (Mouse),EntrezGeneID (Mouse),EntrezGene Symbol (Mouse),EntrezGene Aliases (Mouse),EntrezGene Additional Names (Mouse),UniProtDB ID (Human),UniProt protein name (Human),UniProt protein alternative names (Human),UniProtID (Mouse),UniProt protein name (Mouse),UniProt protein alternative names (Mouse),MeSH ID,MeSH Name,Typographical variations,Shen-Orr ID,IX Synonyms,Protein Ontology ID,Protein Ontology name,Protein Ontology synonyms,Protein Ontology URL,OMIM ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_108,Interleukin-18,HGNC:5986,interleukin 18,3606,IL18 ,IGIF;IL-18;IL-1g;IL1F4;,IL1 gamma;interleukin 18 (interferongammainducing factor);iboctadekin;interleukin1 gamma;interleukin18;IFNgammainducing factor;,MGI:107936,interleukin 18,16173,Il18 ,Igif;Il-18;,IL1 gamma;interleukin18;interferongammainducing factor;interferon gammainducing factor;IFNgammainducing factor;interleukin1 gamma;,IL18_HUMAN,Interleukin-18,IL-18;Iboctadekin;Interferon gamma-inducing factor;IFN-gamma-inducing factor;Interleukin-1 gamma;IL-1 gamma;,IL18_MOUSE,Interleukin-18,IL-18;Interferon gamma-inducing factor;IFN-gamma-inducing factor;Interleukin-1 gamma;IL-1 gamma;,D020382,Interleukin-18,IL 18;IL-18;IL18;Interleukin-18;interleukin 18;,167,Interleukin-18;il-1gamma;igif;il1 gamma;il-1g;ifn-gamma-inducing factor;iboctadekin;mgc12320;il18;il1-gamma;ifn-gamma inducing factor;interferon-gamma-inducing factor;interleukin-18;interleukin 18;interferon-gamma inducing factor;interferon gamma-inducing factor;interleukin-1 gamma;il-18;il1f4;interferon gamma inducing factor;,PR:000001376,interleukin-18,IFN-gamma-inducing factor;IGIF;IL-1 gamma;IL-18;IL18PRO-short-label;IL1F4;iboctadekin;interferon gamma-inducing factor;interleukin-1 gamma;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001376,600953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_109,Interleukin-19,HGNC:5990,interleukin 19,29949,IL19 ,MDA1;NG.1;ZMDA1;IL-10C;,melanoma differentiationassociated proteinlike protein;interleukin19;melanoma differentiation associated proteinlike protein;,MGI:1890472,interleukin 19,329244,Il19 ,,interleukin19;IL19;,IL19_HUMAN,Interleukin-19,IL-19;Melanoma differentiation-associated protein-like protein;NG.1;,IL19_MOUSE,Interleukin-19,IL-19;,,,,173,Interleukin-19;melanoma differentiation antigen-1;mda1;ng.1;interleukin-19;il-10c;zmda1;interleukin 19;melanoma differentiation-associated protein-like protein;zmda-1;melanoma differentiation associated protein-like protein;il10c;il19;il-19;,PR:000001472,interleukin-19,NG.1;ZMDA1;IL19;IL-19;melanoma differentiation-associated protein-like protein;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001472,605687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_11,Chemokine CCL11,HGNC:10610,chemokine (C-C motif) ligand 11,6356,CCL11 ,SCYA11;,"eosinophil chemotactic protein;eotaxin;small inducible cytokine subfamily A (CysCys), member 11 (eotaxin);eotaxin1;",MGI:103576,chemokine (C-C motif) ligand 11,20292,Ccl11 ,Scya11;eotaxin;,eosinophil chemotactic protein;CC motif chemokine 11;small inducible cytokine A11;smallinducible cytokine A11;eotaxin;small chemokine (CC motif) ligand 11;,CCL11_HUMAN,Eotaxin,C-C motif chemokine 11;Eosinophil chemotactic protein;Small-inducible cytokine A11;,CCL11_MOUSE,Eotaxin,C-C motif chemokine 11;Eosinophil chemotactic protein;Small-inducible cytokine A11;,D054413,Chemokine CCL11,C-C motif chemokine 11;CCL11;CCL-11;Chemokine CCL11;,225,Chemokine_CCL11;ccl-11;small-inducible cytokine a11;c-c motif chemokine 11;ccl11;eosinophil chemotactic protein;eotaxin;scya11;mgc22554;chemokine (c-c motif) ligand 11;,PR:000002139,eotaxin,C-C motif chemokine 11;eosinophil chemotactic protein;CCL11;SCYA11;small-inducible cytokine A11;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000002139,601156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_110,Interleukin-2,HGNC:6001,interleukin 2,3558,IL2 ,IL-2;TCGF;lymphokine;,interleukin2;aldesleukin;T cell growth factor;involved in regulation of Tcell clonal expansion;,MGI:96548,interleukin 2,16183,Il2 ,Il-2;,Tcell growth factor;interleukin2;TCGF;,IL2_HUMAN,Interleukin-2,IL-2;T-cell growth factor;TCGF;,IL2_MOUSE,Interleukin-2,IL-2;T-cell growth factor;TCGF;,D007376,Interleukin-2,IL 2;IL-2;IL2;Interleukin-2;interleukin 2;,101,Interleukin-2;trf3;t-lpf;tmf;t-lymphocyte promotor factor;t-cell growth factor;lpf;lymphocyte-conditioned medium factor;thymocyte differentiation factor;edf;lcm factor;maf-c i;blastogenic factor;interleukin 2;tcgf;t-cell replacing factor-3;lymphocyte proliferation factor;eosinophil differentiation factor;killer cell helper factor;interleukin-2;il-2;khf;pfc-ea;plaque forming cell enhancing factor;lmf;lymphokine;lymphocyte mitogenic factor;il2;t-cell mitogenic factor;trf-3;tgp-3;macrophage-activating factor for cytotoxicity i;secondary cytotoxic t-cell inducing factor;scif;thymocyte mitogenic factor;t-cell maturation factor;,PR:000001379,interleukin-2,aldesleukin;T-cell growth factor;IL-2;IL2;TCGF;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001379,147680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_111,Interleukin-20,HGNC:6002,interleukin 20,50604,IL20 ,IL-20;IL10D;ZCYTO10;,cytokine Zcyto10;interleukin20;four alpha helix cytokine;,MGI:1890473,interleukin 20,58181,Il20 ,Zcyto10;,four alpha helix cytokine ZCYTO10;cytokine Zcyto10;interleukin20;four helix bundle cytokine 10;IL20;,IL20_HUMAN,Interleukin-20,IL-20;Cytokine Zcyto10;,IL20_MOUSE,Interleukin-20,IL-20;Cytokine Zcyto10;,,,,143,Interleukin-20;zcyto10;interleukin 10d;il-20;il20;mgc96907;il-10d;interleukin 20;interleukin-20;interleukin-10d;il10d;,PR:000001473,interleukin-20,ZCYTO10;IL-20;cytokine Zcyto10;IL20;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001473,605619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_112,Interleukin-21,HGNC:6005,interleukin 21,59067,IL21 ,Za11;IL-21;CVID11;,interleukin21;interleukin21 isoform;,MGI:1890474,interleukin 21,60505,Il21 ,IL-21;,interleukin21;,IL21_HUMAN,Interleukin-21,IL-21;Za11;,IL21_MOUSE,Interleukin-21,IL-21;,,,,87,il-21;,PR:000001382,interleukin-21,IL21;Za11;IL-21;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001382,605384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_113,Interleukin-22,HGNC:14900,interleukin 22,50616,IL22 ,TIFa;IL-21;IL-22;ILTIF;IL-TIF;IL-D110;zcyto18;TIFIL-23;,IL10related Tcellderivedinducible factor;interleukin22;IL10related Tcellderived inducible factor;cytokine Zcyto18;,MGI:1355307,interleukin 22,50929,Il22 ,IL-22;Iltif;IL-22a;ILTIFa;,interleukin 10related T cellderived inducible factor;interleukin22a;IL10related Tcellderivedinducible factor;interleukin22;ILTIF alpha;,IL22_HUMAN,Interleukin-22,IL-22;Cytokine Zcyto18;IL-10-related T-cell-derived-inducible factor;IL-TIF;,IL22_MOUSE,Interleukin-22,IL-22;IL-10-related T-cell-derived-inducible factor;IL-TIF;IL-TIF alpha;Interleukin-22a;IL-22a;,,,,131,Interleukin-22;il-22;Il22a;il22;iltif;il-10-related t-cell-derived-inducible factor;interleukin-22;iltifa;il-tif alpha;interleukin 22;tifil-23;mgc79384;il-tif;zcyto18;tifa;tif-alpha;tif-a;il-d110;mgc79382;interleukin-22a;,PR:000001383,interleukin-22,IL-22;IL22;IL-TIF;ILTIF;ZCYTO18;IL-TIF alpha;IL-22a;Il22a;interleukin-22a;IL-10-related T-cell-derived-inducible factor;cytokine Zcyto18;Iltifa;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001383,605330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_114,Interleukin-23,,,,,,,,,,,,,,,,,,,D053759,Interleukin-23,IL 23;IL-23;IL23;Interleukin-23;interleukin 23;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_115,Interleukin-23 Subunit p19,HGNC:15488,"interleukin 23, alpha subunit p19",51561,IL23A ,P19;SGRF;IL-23;IL-23A;IL23P19;,"interleukin23 subunit p19;interleukin 23 p19 subunit;interleukin23 subunit alpha;interleukinsix, GCSF related factor;IL23 subunit alpha;IL23p19;IL23A;JKA3 induced upon Tcell activation;",MGI:1932410,"interleukin 23, alpha subunit p19",83430,Il23a ,p19;IL-23;,interleukin23 subunit p19;IL23 subunit alpha;interleukin23 subunit alpha;IL23p19;IL23A;,IL23A_HUMAN,Interleukin-23 subunit alpha,IL-23 subunit alpha;IL-23-A;Interleukin-23 subunit p19;IL-23p19;,IL23A_MOUSE,Interleukin-23 subunit alpha,IL-23 subunit alpha;IL-23-A;Interleukin-23 subunit p19;IL-23p19;,D053760,Interleukin-23 Subunit p19,Interleukin-23 Subunit p19;,,,PR:000001384,interleukin-23 subunit alpha,IL-23 subunit alpha;SGRF;IL23A;IL-23p19;interleukin-23 subunit p19;IL-23-A;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001384,605580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_116,Interleukin-23 Subunit p40,,,,,,,,,,,,,,,,,,,,,IL-23 subunit p40;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
