Reference	HEK293_PSI_Rep1	HEK293_PSI_Rep2	HEK293_WT_PSI_Rep1	HEK293_WT_PSI_Rep2	HeLa_PSI_Rep1	HeLa_PSI_Rep2	K562_PSI_Rep1	K562_PSI_Rep2	MCF7_PSI_Rep1	MCF7_PSI_Rep2	HMC3_PSI_Rep1	HMC3_PSI_Rep2
135	0.00423728813559322	0.012618296529968454	-1.0	-1.0	0.011764705882352941	0.05660377358490566	0.01592356687898089	0.012195121951219513	0.06521739130434782	0.1	0.07428571428571429	0.12698412698412698
252	0.0	0.009836065573770493	-1.0	-1.0	0.01293103448275862	0.13513513513513514	0.011811023622047244	0.0	0.05555555555555555	0.02857142857142857	0.11659192825112108	0.10084033613445378
256	0.009900990099009901	0.02112676056338028	-1.0	-1.0	0.026785714285714284	0.17391304347826086	0.029197080291970802	0.02702702702702703	0.10526315789473684	0.1111111111111111	0.20238095238095238	0.1592920353982301
257	0.021164021164021163	0.02702702702702703	-1.0	-1.0	0.039603960396039604	0.125	0.02702702702702703	0.0136986301369863	0.10891089108910891	0.1095890410958904	0.19318181818181818	0.1552511415525114
258	0.01818181818181818	0.02074688796680498	-1.0	-1.0	0.019230769230769232	0.06818181818181818	0.022935779816513763	0.031746031746031744	0.18292682926829268	0.2641509433962264	0.2366412213740458	0.19337016574585636
259	0.0044943820224719105	0.024834437086092714	-1.0	-1.0	0.042283298097251586	0.15384615384615385	0.03531598513011153	0.009615384615384616	0.12547528517110265	0.09659090909090909	0.18090452261306533	0.17943107221006566
260	0.0041841004184100415	0.005479452054794521	-1.0	-1.0	0.0034965034965034965	0.08450704225352113	0.0030864197530864196	0.0	0.0375	0.054945054945054944	0.07758620689655173	0.11379310344827587
262	0.0	0.0	-1.0	-1.0	0.0	0.0	0.0060790273556231	0.0	0.03608247422680412	0.0	0.0641025641025641	0.07017543859649122
294	0.0024813895781637717	0.013769363166953529	-1.0	-1.0	0.024774774774774775	0.012658227848101266	0.013363028953229399	0.023076923076923078	0.06934306569343066	0.07482993197278912	0.10526315789473684	0.09219858156028368
296	0.004987531172069825	0.03063063063063063	-1.0	-1.0	0.010822510822510822	0.09302325581395349	0.01603206412825651	0.016216216216216217	0.12062256809338522	0.17532467532467533	0.208955223880597	0.19753086419753085
297	0.0	0.012658227848101266	-1.0	-1.0	0.03468208092485549	0.041666666666666664	0.02185792349726776	0.015384615384615385	0.0673076923076923	0.08	0.13513513513513514	0.11409395973154363
299	0.0	0.006872852233676976	-1.0	-1.0	0.02092050209205021	0.02564102564102564	0.03289473684210526	0.0	0.08333333333333333	0.10810810810810811	0.1522633744855967	0.12258064516129032
300	0.0	0.0	-1.0	-1.0	0.0037174721189591076	0.05660377358490566	0.006060606060606061	0.0	0.04666666666666667	0.03488372093023256	0.038461538461538464	0.03690036900369004
379	0.0	0.00718132854578097	-1.0	-1.0	0.015503875968992248	0.03296703296703297	0.0136986301369863	0.0	0.05917159763313609	0.048	0.02681992337164751	0.038011695906432746
957	0.9028871391076115	0.9028044563964657	-1.0	-1.0	0.9815668202764977	0.9929203539823008	0.9828009828009828	0.9949463044851548	0.9455943228858663	0.9299416180150125	0.9846705805609915	0.9830111306385472
961	0.8691588785046729	0.9085365853658537	-1.0	-1.0	0.9931506849315068	0.9714285714285714	1.0	0.9929078014184397	0.9090909090909091	0.9629629629629629	0.9918367346938776	0.9925925925925926
977	0.8636363636363636	0.8823529411764706	-1.0	-1.0	1.0	1.0	0.9567567567567568	0.9902912621359223	0.9391304347826087	0.9896907216494846	0.9769585253456221	0.9893617021276596
995	0.9104477611940298	0.8901734104046243	-1.0	-1.0	0.9735099337748344	1.0	0.9940828402366864	0.9920634920634921	0.9370629370629371	0.95	0.988	0.9954954954954955
996	0.9074074074074074	0.9066985645933014	-1.0	-1.0	0.9882352941176471	0.9634146341463414	0.9852216748768473	0.9962121212121212	0.9466666666666667	0.9613259668508287	0.9890909090909091	0.982174688057041
