motif154	Ornament:RBM4B_7mer_logo1
motif155	Ornament:CNOT4_7mer_logo2
motif156	Ornament:RBM4B_7mer_logo0
motif157	Ornament:RBM6_7mer_logo0
motif158	Ornament:RBM6_7mer_logo1
motif159	Ornament:RBM6_7mer_logo2
motif160	Ornament:RBM6_7mer_logo3
motif161	Ornament:RBM15B_7mer_logo2
motif162	Ornament:RBM15B_7mer_logo1
motif163	Ornament:RBM15B_7mer_logo0
motif164	Ornament:RBM22_7mer_logo0
motif165	Ornament:RBM23_7mer_logo1
motif166	Ornament:CNOT4_7mer_logo3
motif167	Ornament:RBM23_7mer_logo0
motif168	Ornament:RBM24_7mer_logo0
motif169	Ornament:RBM24_7mer_logo1
motif170	Ornament:RBM25_7mer_logo2
motif171	Ornament:RBM25_7mer_logo1
motif172	Ornament:RBM25_7mer_logo0
motif173	Ornament:RBM41_7mer_logo1
motif174	Ornament:RBM41_7mer_logo0
motif175	Ornament:RBM45_7mer_logo5
motif176	Ornament:RBM45_7mer_logo4
motif177	Ornament:CPEB1_7mer_logo0
motif178	Ornament:RBM45_7mer_logo3
motif179	Ornament:RBM45_7mer_logo1
motif180	Ornament:RBM45_7mer_logo2
motif181	Ornament:RBM45_7mer_logo0
motif182	Ornament:RBM47_7mer_logo1
motif183	Ornament:RBM47_7mer_logo0
motif184	Ornament:RBMS2_7mer_logo2
motif185	Ornament:RBMS2_7mer_logo1
motif186	Ornament:RBMS2_7mer_logo0
motif187	Ornament:RBMS3_7mer_logo3
motif188	Ornament:DAZ3_7mer_logo4
motif189	Ornament:RBMS3_7mer_logo2
motif190	Ornament:RBMS3_7mer_logo1
motif191	Ornament:RBMS3_7mer_logo0
motif192	Ornament:RC3H1_7mer_logo0
motif193	Ornament:RC3H1_7mer_logo1
motif194	Ornament:RC3H1_7mer_logo2
motif195	Ornament:RC3H1_7mer_logo3
motif196	Ornament:SF1_7mer_logo2
motif197	Ornament:SF1_7mer_logo0
motif198	Ornament:SF1_7mer_logo1
motif199	Ornament:DAZ3_7mer_logo5
motif200	Ornament:SFPQ_7mer_logo5
motif201	Ornament:SFPQ_7mer_logo4
motif202	Ornament:SFPQ_7mer_logo3
motif203	Ornament:SFPQ_7mer_logo1
motif204	Ornament:SFPQ_7mer_logo2
motif205	Ornament:SFPQ_7mer_logo0
motif206	Ornament:SNRPA_7mer_logo1
motif207	Ornament:SNRPA_7mer_logo0
motif208	Ornament:SRSF2_7mer_logo3
motif209	Ornament:SRSF2_7mer_logo2
motif210	Ornament:DAZ3_7mer_logo3
motif211	Ornament:SRSF2_7mer_logo0
motif212	Ornament:SRSF2_7mer_logo1
motif213	Ornament:SRSF5_7mer_logo4
motif214	Ornament:SRSF5_7mer_logo3
motif215	Ornament:SRSF5_7mer_logo2
motif216	Ornament:SRSF5_7mer_logo1
motif217	Ornament:SRSF5_7mer_logo0
motif218	Ornament:DAZ3_7mer_logo2
motif219	Ornament:A1CF_7mer_logo1
motif220	Ornament:SRSF8_7mer_logo1
motif221	Ornament:SRSF8_7mer_logo0
motif222	Ornament:SRSF9_7mer_logo2
motif223	Ornament:SRSF9_7mer_logo1
motif224	Ornament:SRSF9_7mer_logo0
motif225	Ornament:SRSF10_7mer_logo1
motif226	Ornament:SRSF10_7mer_logo0
motif227	Ornament:SRSF11_7mer_logo1
motif228	Ornament:SRSF11_7mer_logo0
motif229	Ornament:TAF15_7mer_logo0
motif230	Ornament:DAZ3_7mer_logo1
motif231	Ornament:TAF15_7mer_logo1
motif232	Ornament:TAF15_7mer_logo2
motif233	Ornament:TARDBP_7mer_logo1
motif234	Ornament:TARDBP_7mer_logo0
motif235	Ornament:TIA1_7mer_logo2
motif236	Ornament:TIA1_7mer_logo0
motif237	Ornament:TRA2A_7mer_logo1
